filename	ATTIRBUTE_sample_type	ATTRIBUTE_timepoint_HRS	ATTRIBUTE_Polarity
OMICS_MHAE003_MOCK_48HRS_3_Lipid_014_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG
OMICS_MHAE003_icMERS_0HRS_4_Lipid_034_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG
OMICS_MHAE003_MOCK_48HRS_1_Lipid_049_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG
OMICS_MHAE003_MOCK_24HRS_5_Lipid_017_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	NEG
OMICS_MHAE003_MOCK_24HRS_2_Lipid_039_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	NEG
OMICS_MHAE003_icMERS_48HRS_3_Lipid_052_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	NEG
OMICS_MHAE003_MOCK_48HRS_5_Lipid_046_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG
OMICS_MHAE003_MOCK_48HRS_2_Lipid_001_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG
OMICS_MHAE003_icMERS_36HRS_1_Lipid_053_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	NEG
OMICS_MHAE003_MOCK_0HRS_2_Lipid_059_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	NEG
OMICS_MHAE003_MOCK_0HRS_4_Lipid_005_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	NEG
OMICS_MHAE003_icMERS_12HRS_5_Lipid_055_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	NEG
OMICS_MHAE003_MOCK_12HRS_3_Lipid_037_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG
OMICS_MHAE003_icMERS_36HRS_5_Lipid_045_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	NEG
OMICS_MHAE003_icMERS_24HRS_1_Lipid_056_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	NEG
OMICS_MHAE003_icMERS_0HRS_2_Lipid_007_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG
OMICS_MHAE003_icMERS_36HRS_3_Lipid_021_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	NEG
OMICS_MHAE003_icMERS_0HRS_5_Lipid_015_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG
OMICS_MHAE003_icMERS_48HRS_5_Lipid_019_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	NEG
OMICS_MHAE003_MOCK_36HRS_4_Lipid_008_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	NEG
OMICS_MHAE003_icMERS_12HRS_4_Lipid_022_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	NEG
OMICS_MHAE003_MOCK_36HRS_1_Lipid_009_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	NEG
OMICS_MHAE003_MOCK_0HRS_3_Lipid_026_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	NEG
OMICS_MHAE003_MOCK_12HRS_5_Lipid_020_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG
OMICS_MHAE003_icMERS_12HRS_1_Lipid_027_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	NEG
OMICS_MHAE003_icMERS_0HRS_1_Lipid_057_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG
OMICS_MHAE003_icMERS_36HRS_2_Lipid_033_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	NEG
OMICS_MHAE003_MOCK_36HRS_2_Lipid_043_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	NEG
OMICS_MHAE003_icMERS_24HRS_2_Lipid_025_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	NEG
